"sample" "TCGA-HU-A4GP-11" "TCGA-FP-7735-11" "TCGA-FP-7829-11" "TCGA-IN-8462-11" "TCGA-HU-A4GY-11" "TCGA-IN-7806-11" "TCGA-BR-6852-11" "TCGA-BR-7704-11" "TCGA-HU-8238-11" "TCGA-BR-6454-11"
"ARHGEF10L" "-0.051192469762" "0.129407530238" "1.23130753024" "1.28230753024" "0.229707530238" "1.69450753024" "-0.240692469762" "0.759807530238" "0.451807530238" "0.328007530238"
"HIF3A" "6.49987366368" "6.13447366368" "5.90207366368" "1.27897366368" "6.76987366368" "3.72407366368" "0.428073663675" "5.08687366368" "0.274073663675" "3.73357366368"
"RNF17" "0.273964994147" "-0.531035005853" "1.48616499415" "-0.531035005853" "0.971664994147" "-0.531035005853" "-0.531035005853" "-0.152035005853" "-0.531035005853" "-0.531035005853"
"RNF10" "0.397228014046" "0.554228014046" "0.533128014046" "0.746828014046" "0.588828014046" "1.09522801405" "0.147828014046" "0.261928014046" "0.213028014046" "0.154128014046"
"RNF11" "1.116121865" "1.077521865" "0.938121865002" "1.110521865" "1.175221865" "1.107721865" "-0.346778134998" "0.526921865002" "0.484021865002" "-0.167978134998"
"RNF13" "0.0959900897386" "-0.508609910261" "0.0696900897386" "-0.654209910261" "-0.0295099102614" "-0.740009910261" "-0.127209910261" "-0.389809910261" "-0.541309910261" "-0.681609910261"
"GTF2IP1" "0.592805509169" "0.976605509169" "0.301805509169" "-0.242994490831" "0.852805509169" "-0.077194490831" "-0.698094490831" "0.229605509169" "0.148205509169" "0.200905509169"
"REM1" "2.94125434257" "3.14805434257" "3.81975434257" "-1.11754565743" "2.65385434257" "-1.05604565743" "0.861954342567" "2.34815434257" "-0.603445657433" "1.41255434257"
"MTVR2" "0.034600593055" "-0.423399406945" "-0.039599406945" "1.87620059306" "2.13490059306" "-0.423399406945" "-0.423399406945" "-0.044399406945" "2.07570059306" "1.43930059306"
"RTN4RL2" "-1.09337154116" "-1.60147154116" "-0.432271541163" "-0.388571541163" "0.242528458837" "-0.0751715411627" "-0.365371541163" "0.660528458837" "-0.549271541163" "-0.976971541163"
"C16orf13" "-0.194789285993" "0.765210714007" "0.338310714007" "-0.085689285993" "0.131010714007" "0.114210714007" "0.934110714007" "0.314210714007" "0.088410714007" "0.702310714007"
"C16orf11" "-0.543084120172" "-0.543084120172" "-0.543084120172" "2.04031587983" "-0.543084120172" "2.43141587983" "-0.543084120172" "-0.543084120172" "-0.543084120172" "-0.543084120172"
"FGFR1OP2" "0.519846172454" "0.232646172454" "0.0331461724542" "-0.103453827546" "0.396146172454" "-0.354953827546" "0.142546172454" "0.334046172454" "-0.260753827546" "0.0461461724542"
"TSKS" "-1.10758715568" "1.47511284432" "2.95451284432" "0.508212844323" "1.86471284432" "0.151012844323" "-1.56558715568" "0.0681128443231" "-1.56558715568" "0.00851284432305"
"ATRX" "2.30049747171" "1.23799747171" "1.22779747171" "0.683897471713" "2.05659747171" "0.0874974717128" "-1.26780252829" "0.671697471713" "0.0840974717128" "0.513797471713"
"PMM2" "-1.80915847835" "-1.46395847835" "-1.45015847835" "-0.0529584783457" "-1.46445847835" "-0.365558478346" "1.01224152165" "-0.513158478346" "0.905941521654" "0.743041521654"
"LOC100272146" "-0.179347600468" "-1.00334760047" "-0.701247600468" "-1.75254760047" "0.0492523995318" "-0.0589476004682" "-0.429947600468" "-0.662447600468" "-0.589647600468" "-1.33644760047"
"ASS1" "-0.651849044089" "-0.458949044089" "-0.507849044089" "-0.867549044089" "-0.650049044089" "-1.09034904409" "-0.215349044089" "-0.313249044089" "2.18945095591" "-0.232149044089"
"NCBP1" "0.15029523215" "-0.60610476785" "-0.22090476785" "-0.10460476785" "0.20789523215" "-0.23760476785" "0.23369523215" "-0.37310476785" "-0.44940476785" "-0.27830476785"
"ZNF709" "0.189439547405" "0.215239547405" "0.00163954740536" "-0.594760452595" "0.337039547405" "-0.462560452595" "-0.280160452595" "-0.237360452595" "-1.54206045259" "-0.959660452595"
"ZNF708" "0.808801100273" "-0.0830988997269" "0.193801100273" "0.255901100273" "0.668001100273" "-0.818398899727" "0.226301100273" "-0.124198899727" "0.213801100273" "-0.320798899727"
"RBM14" "0.151978821693" "0.155378821693" "0.0997788216934" "0.238278821693" "0.427578821693" "0.649578821693" "0.550378821693" "0.504678821693" "-0.227521178307" "0.280678821693"
"NCBP2" "-0.691471065158" "-0.474171065158" "-0.935371065158" "-1.49537106516" "-0.671471065158" "-1.34057106516" "-1.47687106516" "-1.26407106516" "-1.84747106516" "-1.52257106516"
"DISC1" "0.280386094421" "-0.573313905579" "0.377186094421" "-0.972113905579" "0.226586094421" "-0.641213905579" "-0.537613905579" "0.209086094421" "-2.96751390558" "-1.11671390558"
"CAMK1" "1.15764655482" "1.83964655482" "1.25054655482" "-2.31945344518" "1.36514655482" "-2.05115344518" "-0.453653445181" "1.00434655482" "-1.49135344518" "0.255946554819"
"RPL37" "-0.425388646118" "-0.0810886461178" "-0.842188646118" "0.415611353882" "-0.226088646118" "0.0244113538822" "-0.0355886461178" "-0.429388646118" "-0.365388646118" "-0.354288646118"
"SPR" "-0.935993858759" "-0.140793858759" "-0.592593858759" "-1.24109385876" "-0.853493858759" "-1.35279385876" "0.669006141241" "-0.113893858759" "0.739606141241" "-0.148193858759"
"ZNF700" "-1.26032403433" "-1.64022403433" "-1.23632403433" "-0.646224034335" "-0.445924034335" "-0.936824034335" "-0.245924034335" "-1.49972403433" "-0.792124034335" "-1.00592403433"
"ZNF707" "-0.609066266094" "-0.312466266094" "-0.391866266094" "-0.896066266094" "-0.774866266094" "-0.491366266094" "-0.868266266094" "-0.405066266094" "-0.971766266094" "-0.428266266094"
"CAMK4" "1.93150238002" "0.779102380023" "-0.458197619977" "0.614502380023" "0.176502380023" "-0.420497619977" "1.68350238002" "1.99940238002" "-0.0995976199766" "1.11090238002"
"ZNF704" "1.95353934452" "1.91333934452" "2.06213934452" "-0.0804606554818" "2.39853934452" "-0.426660655482" "-0.0727606554818" "2.35953934452" "-0.560260655482" "1.36633934452"
"LOC339240" "-0.460804424503" "-0.460804424503" "-0.460804424503" "-0.460804424503" "-0.460804424503" "-0.460804424503" "-0.460804424503" "-0.460804424503" "-0.460804424503" "-0.460804424503"
"GOLGA6B" "-1.18890035895" "-0.621500358954" "-1.18890035895" "-0.139300358954" "1.76039964105" "-1.18890035895" "-1.18890035895" "-1.18890035895" "-1.18890035895" "-1.18890035895"
"RNF115" "0.795831353882" "1.09183135388" "1.80363135388" "0.169031353882" "1.56313135388" "0.0224313538822" "0.306531353882" "0.735631353882" "0.204331353882" "0.114731353882"
"RNF112" "1.8096939602" "1.3594939602" "1.5050939602" "-1.7801060398" "1.7514939602" "-2.0550060398" "-0.453206039797" "1.3593939602" "-1.0459060398" "0.782593960203"
"ZC3H14" "0.577994077253" "-0.0905059227468" "0.106694077253" "-0.0991059227468" "0.680994077253" "-0.0593059227468" "-0.377705922747" "0.115794077253" "-0.181205922747" "-0.377805922747"
"SPN" "0.407084892704" "-0.519415107296" "-2.0903151073" "0.884984892704" "-0.649415107296" "0.173584892704" "1.0567848927" "1.3438848927" "1.0711848927" "2.1201848927"
"HMGCLL1" "3.38763272727" "2.48273272727" "2.93143272727" "-1.56146727273" "2.34743272727" "-0.769667272727" "-0.294267272727" "2.07323272727" "-2.28926727273" "1.23173272727"
"NACAP1" "-5.83253993757" "-3.77653993757" "-5.48753993757" "-4.23703993757" "-3.12773993757" "-5.13713993757" "-6.63753993757" "-5.15083993757" "-4.71453993757" "-5.90703993757"
"LRRTM1" "5.96441725322" "3.36781725322" "4.12871725322" "-0.604082746781" "4.72381725322" "-1.43178274678" "-1.42508274678" "3.98941725322" "-0.302682746781" "1.55461725322"
"GRIN1" "2.84356107686" "2.13776107686" "-0.331738923137" "-0.631138923137" "1.39656107686" "-0.080838923137" "-1.00933892314" "1.29406107686" "-0.111938923137" "-0.187438923137"
"RBMY1A3P" "-0.0118447132267" "-0.0118447132267" "-0.0118447132267" "-0.0118447132267" "-0.0118447132267" "-0.0118447132267" "-0.0118447132267" "-0.0118447132267" "-0.0118447132267" "-0.0118447132267"
"DHX8" "-0.484785946157" "-0.137385946157" "-0.0660859461569" "0.207914053843" "-0.222985946157" "0.226014053843" "-0.0619859461569" "0.0522140538431" "-0.274985946157" "0.127614053843"
"DHX9" "-0.288264369879" "-0.362664369879" "-0.617864369879" "-0.410764369879" "-0.199864369879" "-0.788264369879" "-0.889164369879" "-0.454964369879" "-1.06586436988" "-0.745164369879"
"LOC441204" "1.52406880218" "0.593668802185" "-0.144231197815" "-1.45873119782" "0.435568802185" "-1.74853119782" "-0.588231197815" "1.26226880218" "-2.45463119782" "0.674868802185"
"TCOF1" "-0.0943651190012" "0.159834880999" "-0.0605651190012" "-0.607265119001" "-0.0946651190012" "-0.336065119001" "-0.606465119001" "-0.0494651190012" "-1.448565119" "-0.125665119001"
"LRRTM3" "3.09168293406" "1.30248293406" "0.470782934062" "0.749382934062" "1.93418293406" "-1.10781706594" "-1.65111706594" "0.350382934062" "0.588482934062" "-0.0770170659384"
"NUP98" "0.113126656262" "-0.179473343738" "-0.0262733437378" "0.407026656262" "0.480426656262" "0.179826656262" "-0.267073343738" "0.184526656262" "-0.618373343738" "-0.267773343738"
"XPC" "0.0251295044869" "-0.114470495513" "0.347629504487" "-0.565070495513" "0.409329504487" "-0.308370495513" "-0.952070495513" "0.124929504487" "-0.238570495513" "-0.330170495513"
"SLC12A2" "1.51533943036" "0.717339430355" "1.23043943036" "-1.69096056964" "1.35753943036" "-2.08046056964" "1.23263943036" "2.18983943036" "0.827439430355" "1.07003943036"
"GRINA" "-0.76385874366" "-0.31945874366" "-0.74105874366" "-0.84195874366" "-0.57755874366" "-0.49505874366" "-0.82415874366" "-0.37975874366" "-0.25425874366" "-0.66535874366"
"LRRTM2" "2.1348248849" "0.7708248849" "0.5051248849" "0.2620248849" "1.1935248849" "-0.3273751151" "-0.4532751151" "1.4692248849" "0.0411248849005" "0.9959248849"
"NUP93" "-1.09361461568" "-0.666514615685" "-0.590014615685" "-0.296914615685" "-0.884914615685" "-0.211214615685" "0.139985384315" "-0.665214615685" "-1.72911461568" "-0.148814615685"
"HAP1" "0.741405259462" "-0.638194740538" "-3.25279474054" "-1.27869474054" "-0.0645947405384" "-1.79249474054" "-2.96809474054" "0.422505259462" "-4.03729474054" "-0.573994740538"
